French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
à,at
a,has
ne,not
les,them
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,from
bien,good
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my 
suis,am
te,you
au,to
avec,with
va,go
oui,yes
toi,you
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,where
votre,your
pourquoi,why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
dire,say
alors,then
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,too
voir,see
chose,thing
allez,come on
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do 